-1.0728,-0.55294,-2.0451,1.345,0.89738,2.1793,1.2016
2.464,0.7998,-2.9382,1.2187,-3.1209,0.54145,0.11923
NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4132,-0.10688,0.39308,0.27665,0.10748,0.31595,NaN
0.43021,0.33762,0.39917,0.44978,0.45067,0.18814,NaN
0.42523,-0.4318,0.38871,0.029563,0.23954,0.29009,NaN
0.24921,-0.38595,0.37219,0.14572,0.075181,0.12385,NaN
-0.084462,0.33534,0.41059,0.41928,0.06695,0.26976,NaN
0.0028377,-0.37938,0.36331,0.080288,0.018356,0.44072,NaN
0.1673,-0.05653,0.40841,0.036587,0.12644,0.033647,NaN
0.040691,-0.23724,0.2586,0.049345,0.015084,0.076705,NaN
-0.063677,0.20932,0.31939,0.048585,0.016299,0.1669,NaN
0.34267,0.028711,0.34055,0.11917,0.012704,0.41306,NaN
