-2.767,1.0349,-0.41534,1.0084,2.2165,-0.98386,-0.83915
-2.0221,1.6983,1.8995,0.44597,0.77472,1.8196,-2.5538
NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3669,-0.39841,0.39704,0.37059,0.32256,0.30322,NaN
0.38648,0.038562,0.2858,0.13027,0.33987,0.36171,NaN
-0.02177,-0.21398,0.37673,0.21184,0.09926,0.20426,NaN
0.17221,0.31308,0.26893,0.176,0.019456,0.079318,NaN
0.21412,0.13603,0.33225,0.036038,0.1478,0.35542,NaN
0.23248,0.43248,0.40704,0.30583,0.053666,0.35971,NaN
-0.056655,-0.39908,0.40833,0.044144,0.10069,0.41145,NaN
0.19128,-0.12267,0.34314,0.050277,0.032879,0.091952,NaN
-0.017491,0.29869,0.41566,0.20641,0.030899,0.019181,NaN
0.071223,-0.36171,0.3002,0.053865,0.042997,0.15899,NaN
